uuid,departmentName,departmentManager,parentId
1,珠海华润银行,,0
ZongHang,总行,,1
GuangZhou,广州分行,,1
HuiZhou,惠州分行,,1
FoShan,佛山分行,,1
2000333,广州分行公司金融部,,GuangZhou
2000334,广州分行个人金融部,,GuangZhou
ZhongShan,中山分行,,1
2000368,中山分行财务与运营部,,ZhongShan
ShenZhen,深圳分行,,1
2000005,深圳分行安全保卫部,,ShenZhen
ZhuHai,珠海分行,,1
2000042,珠海分行安全保卫部,,ZhuHai
2000279,深圳分行宝安支行,,ShenZhen
DongGuan,东莞分行,,1
2000327,东莞分行长安支行,,DongGuan
1000042,总行办公室,,ZongHang
2000314,深圳分行宝体支行,,ShenZhen
1000180,深圳分行财务会计部,,ShenZhen
1000162,珠海分行白蕉支行,,ZhuHai
2000123,东莞分行公司金融部,,DongGuan
2000244,惠州分行个人金融部,,HuiZhou
2000391,惠州分行个人金融部麦地社区支行,,2000244
1000221,珠海分行办公室,,ZhuHai
1000181,深圳分行法律合规部,,ShenZhen
2000033,中山分行法律合规部,,ZhongShan
2000138,东莞分行分行营业部,,DongGuan
2000060,佛山分行个人金融部,,FoShan
2000338,广州分行风险管理部,,GuangZhou
1000185,深圳分行分行营业部,,ShenZhen
2000125,东莞分行财务与运营部,,DongGuan
1000179,深圳分行风险管理部,,ShenZhen
2000006,深圳分行福田支行,,ShenZhen
2000037,中山分行分行营业部,,ZhongShan
1000175,深圳分行个人金融部,,ShenZhen
2000061,佛山分行财务与运营部,,FoShan
1000124,珠海分行北岭支行（综合）,,ZhuHai
2000031,中山分行风险管理部,,ZhongShan
2000124,东莞分行个人金融部,,DongGuan
2000308,东莞分行个人金融部南城区东泰社区支行,,2000124
2000396,深圳分行个人金融部百仕达社区支行,,1000175
2000222,总行办公室董事会秘书处,,1000042
2000221,总行办公室品宣服务中心,,1000042
2000285,深圳分行个人金融部创新路社区支行,,1000175
2000142,深圳分行个人金融部创业社区支行,,1000175
1000081,珠海分行碧涛支行（零售）,,ZhuHai
